city,cityLabel,countryLabel,monument,monumentLabel,monumentTypeLabel
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264178,"Братская могила советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны 1941-1945 гг. (Челябинск)",братская могила
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264240,"Братская могила красноармейцев, погибших в боях за Челябинск (Челябинск)",братская могила
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1364533,KV30,гробница
http://www.wikidata.org/entity/Q2415973,Доброполье,СССР,http://www.wikidata.org/entity/Q20073916,Братская могила советских воинов в Доброполье,братская могила
http://www.wikidata.org/entity/Q11194,Сараево,Босния и Герцеговина,http://www.wikidata.org/entity/Q25387520,убийства в Казанской яме,бойня
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1061643,KV64,гробница
http://www.wikidata.org/entity/Q11194,Сараево,Босния и Герцеговина,http://www.wikidata.org/entity/Q25387520,убийства в Казанской яме,братская могила
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q385280,KV11,гробница
http://www.wikidata.org/entity/Q11194,Сараево,Босния и Герцеговина,http://www.wikidata.org/entity/Q25387520,убийства в Казанской яме,карстовая шахта
http://www.wikidata.org/entity/Q33421377,Амерсфорт,Нидерланды,http://www.wikidata.org/entity/Q303196,Коппельпорт,городские ворота
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q778902,KV1,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q655583,KV50 — KV52,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1633253,KV35,могила
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,здание
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,карильон
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q2706226,WV23,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1661091,KV44,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q2719492,KV33,могила
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1348082,KV5,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q947481,KV57,гробница
http://www.wikidata.org/entity/Q2415973,Доброполье,Украина,http://www.wikidata.org/entity/Q20073916,Братская могила советских воинов в Доброполье,памятник
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q2184354,KV15,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719112,KV12,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719116,KV13,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719122,KV18,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719126,KV19,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719150,KV40,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719159,KV46,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719164,KV56,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1719144,KV34,могила
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,Астрономические часы
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q684908,Гробница Таусерт,гробница
http://www.wikidata.org/entity/Q47166,Орск,Россия,http://www.wikidata.org/entity/Q82707812,"Братская могила мусульман-революционеров, погибших в 1918 году при обороне Орска",памятник истории
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q576793,KV10,могила
http://www.wikidata.org/entity/Q2415973,Доброполье,Украина,http://www.wikidata.org/entity/Q20073916,Братская могила советских воинов в Доброполье,братская могила
http://www.wikidata.org/entity/Q47166,Орск,Россия,http://www.wikidata.org/entity/Q82707812,"Братская могила мусульман-революционеров, погибших в 1918 году при обороне Орска",братская могила
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q589651,KV3,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q590096,KV8,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q591371,KV31,гробница
http://www.wikidata.org/entity/Q875,Абакан,Россия,http://www.wikidata.org/entity/Q108662252,"Братская могила Советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны (Абакан)",мемориал
http://www.wikidata.org/entity/Q1780,Братислава,Словакия,http://www.wikidata.org/entity/Q1870194,Лаврентийские ворота,сооружение
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,башня с воротами
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1420195,KV17,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q200653,KV24,гробница
http://www.wikidata.org/entity/Q875,Абакан,Россия,http://www.wikidata.org/entity/Q108662252,"Братская могила Советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны (Абакан)",памятник истории
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,городские ворота
http://www.wikidata.org/entity/Q70,Берн,Швейцария,http://www.wikidata.org/entity/Q246105,Цитглогге,часовая башня
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1420195,KV17,археологический памятник
http://www.wikidata.org/entity/Q875,Абакан,Россия,http://www.wikidata.org/entity/Q108662252,"Братская могила Советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны (Абакан)",братская могила
http://www.wikidata.org/entity/Q490,Милан,Италия,http://www.wikidata.org/entity/Q3878728,Порта-Теналья,городские ворота
http://www.wikidata.org/entity/Q490,Милан,Италия,http://www.wikidata.org/entity/Q2104856,Порта-Романа,триумфальная арка
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1868880,KV32,гробница
http://www.wikidata.org/entity/Q16978,Крымск,Россия,http://www.wikidata.org/entity/Q4213718,Карагодеуашх,курган
http://www.wikidata.org/entity/Q16978,Крымск,Россия,http://www.wikidata.org/entity/Q4213718,Карагодеуашх,насыпь
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q28478484,Братская могила большевиков,памятник истории
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q742922,KV21,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1499244,KV6,гробница
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q28478484,Братская могила большевиков,братская могила
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1520987,KV9,гробница
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q1051476,KV7,гробница
http://www.wikidata.org/entity/Q2751,Сиена,Италия,http://www.wikidata.org/entity/Q3908690,Ворота Камоллиа,городские ворота
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q835309,KV62,гробница
http://www.wikidata.org/entity/Q25475,Батуми,Грузия,http://www.wikidata.org/entity/Q42605179,Колоннада,пропилеи
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264178,"Братская могила советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны 1941-1945 гг. (Челябинск)",мемориал
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264240,"Братская могила красноармейцев, погибших в боях за Челябинск (Челябинск)",мемориал
http://www.wikidata.org/entity/Q130514,Луксор,Египет,http://www.wikidata.org/entity/Q2480865,WV22,гробница
http://www.wikidata.org/entity/Q1780,Братислава,Словакия,http://www.wikidata.org/entity/Q1861811,Выдрицкие ворота,городские ворота
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264178,"Братская могила советских воинов, умерших от ран в госпиталях в годы Великой Отечественной войны 1941-1945 гг. (Челябинск)",памятник истории
http://www.wikidata.org/entity/Q906,Челябинск,Россия,http://www.wikidata.org/entity/Q108264240,"Братская могила красноармейцев, погибших в боях за Челябинск (Челябинск)",памятник истории
http://www.wikidata.org/entity/Q490,Милан,Италия,http://www.wikidata.org/entity/Q2104856,Порта-Романа,городские ворота
http://www.wikidata.org/entity/Q2415973,Доброполье,СССР,http://www.wikidata.org/entity/Q20073916,Братская могила советских воинов в Доброполье,памятник
http://www.wikidata.org/entity/Q1780,Братислава,Словакия,http://www.wikidata.org/entity/Q1870194,Лаврентийские ворота,городские ворота
http://www.wikidata.org/entity/Q647982,Губа,Азербайджан,http://www.wikidata.org/entity/Q2505935,Массовое захоронение в городе Куба,братская могила
http://www.wikidata.org/entity/Q25475,Батуми,Грузия,http://www.wikidata.org/entity/Q42605179,Колоннада,культурная ценность
http://www.wikidata.org/entity/Q41183,Алеппо,Сирия,http://www.wikidata.org/entity/Q4837231,Баб аль-Макам,ворота
http://www.wikidata.org/entity/Q1218,Иерусалим,Израиль,http://www.wikidata.org/entity/Q947597,Дамасские ворота,сооружение
http://www.wikidata.org/entity/Q41183,Алеппо,Сирия,http://www.wikidata.org/entity/Q4837229,Баб аль-Джинан,географический объект
http://www.wikidata.org/entity/Q11739,Лахор,Пакистан,http://www.wikidata.org/entity/Q2027173,Делийские ворота,городские ворота
http://www.wikidata.org/entity/Q41183,Алеппо,Сирия,http://www.wikidata.org/entity/Q4837231,Баб аль-Макам,памятник истории
http://www.wikidata.org/entity/Q1218,Иерусалим,Государство Палестина,http://www.wikidata.org/entity/Q2920336,Ворота Хульды,достопримечательность
http://www.wikidata.org/entity/Q2028,Верона,Италия,http://www.wikidata.org/entity/Q1063320,Порта-Борсари,городские ворота
http://www.wikidata.org/entity/Q1218,Иерусалим,Государство Палестина,http://www.wikidata.org/entity/Q2920336,Ворота Хульды,сооружение
http://www.wikidata.org/entity/Q3766,Дамаск,Сирия,http://www.wikidata.org/entity/Q4837223,Баб Шарки,городские ворота
http://www.wikidata.org/entity/Q3766,Дамаск,Сирия,http://www.wikidata.org/entity/Q4837226,Баб эль-Фарадж,городские ворота
http://www.wikidata.org/entity/Q3766,Дамаск,Сирия,http://www.wikidata.org/entity/Q4837227,Баб-эль-Фарадис,городские ворота
http://www.wikidata.org/entity/Q1218,Иерусалим,Израиль,http://www.wikidata.org/entity/Q1367167,Золотые ворота,городские ворота
http://www.wikidata.org/entity/Q18808,Пхеньян,КНДР,http://www.wikidata.org/entity/Q717009,Ворота Потхон,городские ворота
http://www.wikidata.org/entity/Q36600,Гаага,Нидерланды,http://www.wikidata.org/entity/Q1520230,Тюремные ворота,городские ворота
