monument,monumentLabel,founder,founderLabel,genderLabel,birthDate,deathDate,lifespan,birthCountryLabel,deathCountryLabel,universityLabel
http://www.wikidata.org/entity/Q4146796,Государственный дом-музей П. И. Чайковского,http://www.wikidata.org/entity/Q2306644,Модест Ильич Чайковский,мужской пол,1850-05-13T00:00:00Z,1916-01-16T00:00:00Z,66,Россия,Россия,Императорское училище правоведения
http://www.wikidata.org/entity/Q672913,Арканзас-Пост,http://www.wikidata.org/entity/Q2711731,Henri de Tonti,мужской пол,1649-01-01T00:00:00Z,1704-09-01T00:00:00Z,55,Италия,США,
http://www.wikidata.org/entity/Q1771696,Чарминар,http://www.wikidata.org/entity/Q2467539,Мухаммад Кули Кутб-шах,мужской пол,1565-01-01T00:00:00Z,1612-01-11T00:00:00Z,47,Индия,Индия,
http://www.wikidata.org/entity/Q5142855,Colegio Mayor de Santiago el Zebedeo,http://www.wikidata.org/entity/Q3320905,Алонсо III Фонсека,мужской пол,1476-01-01T00:00:00Z,1534-01-01T00:00:00Z,58,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q479218,Mémorial de la Shoah,http://www.wikidata.org/entity/Q3154773,Isaac Schneersohn,мужской пол,1881-03-14T00:00:00Z,1969-06-24T00:00:00Z,88,Украина,Франция,
http://www.wikidata.org/entity/Q13668536,мыза Рябово,http://www.wikidata.org/entity/Q4492760,"Фридрикс, Иван Юрьевич",мужской пол,1723-04-28T00:00:00Z,1779-09-25T00:00:00Z,56,Россия,Россия,
http://www.wikidata.org/entity/Q5785882,Convento de Santa Rosalía,http://www.wikidata.org/entity/Q2890813,Jaime de Palafox i Cardona,мужской пол,1642-12-13T00:00:00Z,1701-12-03T00:00:00Z,59,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q108276244,Ильинские рубежи,http://www.wikidata.org/entity/Q4443773,Иван Семёнович Стрельбицкий,мужской пол,1900-10-07T00:00:00Z,1980-11-25T00:00:00Z,80,Украина,Россия,Военная академия Генерального штаба Вооружённых сил Российской Федерации
http://www.wikidata.org/entity/Q3571406,Yamada-dera,http://www.wikidata.org/entity/Q3488899,Сога-но Маро,мужской пол,0650-01-01T00:00:00Z,0649-05-18T00:00:00Z,-1,,Япония,
http://www.wikidata.org/entity/Q5785882,Convento de Santa Rosalía,http://www.wikidata.org/entity/Q2890813,Jaime de Palafox i Cardona,мужской пол,1642-12-13T00:00:00Z,1701-12-03T00:00:00Z,59,Испания,Испания,Сарагосский университет
http://www.wikidata.org/entity/Q6102073,Monastery of la Consolación,http://www.wikidata.org/entity/Q5973387,Leonor de Castilla,женский пол,1393-01-01T00:00:00Z,1470-09-16T00:00:00Z,77,,Испания,
http://www.wikidata.org/entity/Q479218,Mémorial de la Shoah,http://www.wikidata.org/entity/Q3154773,Isaac Schneersohn,мужской пол,1879-01-01T00:00:00Z,1969-06-24T00:00:00Z,90,Украина,Франция,
http://www.wikidata.org/entity/Q389366,Morokulien,http://www.wikidata.org/entity/Q4959425,Randi Kolstad,женский пол,1925-05-23T00:00:00Z,1999-10-06T00:00:00Z,74,Норвегия,Норвегия,
http://www.wikidata.org/entity/Q135798546,Bishop Ward Normal and Collegiate Institute,http://www.wikidata.org/entity/Q2149666,Richard H. Cain,мужской пол,1825-04-12T00:00:00Z,1887-01-18T00:00:00Z,62,США,США,Wilberforce University
